,entityName,entityIso_mbbsubscr,dataValue_mbbsubscr,dataValue_mbbtraffic,mbb_traffic_per_subscr_per_month,dataYear
0,Afghanistan,AFG,22831900.0,0.224055,0.8780741870523259,2022
1,South Africa,ZAF,80895100.0,2.60444,2.880784452229451,2022
2,Angola,AGO,9349590.0,0.173527,1.6607073812260573,2022
3,Albania,ALB,2140180.0,0.18448,7.71289843578266,2022
4,Algeria,DZA,44758500.0,3.51116,7.019298648591589,2022
5,Andorra,AND,76000.0,0.002138,2.517171074245614,2022
6,Argentina,ARG,33000000.0,1.2609,3.4188915805090905,2021
7,Armenia,ARM,2837390.0,0.26,8.199227524826219,2022
8,Saudi Arabia,SAU,45875100.0,19.3,37.64427253419248,2022
9,Antigua and Barbuda,ATG,41000.0,0.000992,2.1649428646504068,2016
10,Australia,AUS,33086000.0,5.35,14.468654310987526,2022
11,Austria,AUT,10842600.0,3.83806,31.673564958446622,2022
12,Azerbaijan,AZE,7987100.0,0.28,3.1368050848660136,2022
13,Brazil,BRA,200379000.0,9.65,4.309171038215914,2022
14,Bahamas,BHS,403993.0,0.0562,12.447470316894929,2022
15,Burundi,BDI,1073570.0,0.00092,0.0766789371039305,2022
16,Belgium,BEL,11060500.0,0.699,5.654849351114326,2022
17,Benin,BEN,5629240.0,0.20307,3.227859536392124,2022
18,Burkina Faso,BFA,13460700.0,0.0176317,0.11720473748406347,2021
19,Bangladesh,BGD,95728000.0,7.53,7.038410857429383,2022
20,Bahrain,BHR,2319720.0,0.735075,28.35402445398583,2022
21,Belarus,BLR,9321770.0,1.338,12.843291925889611,2022
22,Belize,BLZ,171349.0,0.0038,1.9843608323752495,2019
23,Botswana,BWA,2844960.0,0.062,1.9499979228764788,2022
24,Barbados,BRB,189514.0,0.007217,3.4074856139950964,2021
25,Myanmar,MMR,58937200.0,0.032535,0.04939465261871959,2021
26,Brunei Darussalam,BRN,609284.0,0.371656,54.580812798375355,2021
27,Bhutan,BTN,766882.0,0.131028,15.288123826424405,2022
28,Bulgaria,BGR,7839140.0,0.799876,9.130043976059278,2022
29,Central African Rep.,CAF,238650.0,0.00269286,1.0096502577612403,2019
30,Canada,CAN,31163900.0,2.0,5.742444644818739,2022
31,Cambodia,KHM,17098200.0,3.6384,19.04051426681171,2022
32,Chile,CHL,21461300.0,4.95158,20.644596478630216,2022
33,China,CHN,1537680000.0,268.727,15.637378991838787,2022
34,Colombia,COL,39512900.0,2.87,6.49922564293349,2022
35,Sri Lanka,LKA,20713500.0,1.64945,7.125318639199878,2022
36,Cameroon,CMR,10059400.0,0.0426662,0.37951636786777215,2022
37,Congo (Rep. of the),COG,922192.0,0.000228,0.022122393878931935,2021
38,Comoros,COM,514842.0,0.010772,1.8721515416587355,2022
39,Cabo Verde,CPV,442420.0,0.02665,5.3899046926751355,2022
40,Côte d'Ivoire,CIV,25732700.0,0.766,2.6635572545956445,2022
41,Costa Rica,CRI,5001950.0,0.332,5.939055194607437,2022
42,Cuba,CUB,4731970.0,0.2588,4.893740240167766,2022
43,Cyprus,CYP,778968.0,0.084471,9.70301364702016,2022
44,Germany,DEU,79650000.0,6.714,7.542480232617703,2022
45,Djibouti,DJI,399084.0,0.007591,1.7019754792608406,2022
46,Dominica,DMA,55485.0,0.00102414,1.6515904473151302,2020
47,Denmark,DNK,8393110.0,1.59996,17.057085799414043,2022
