,poi_id,source_poi_id,dataset_id,lat,lon,poi_type,is_public,poi_subtype,country_code,admin1,admin2,admin3,is_connected,connectivity_type,has_electricity,electricity_type,label,geometry,4g_850_ave,4g_850_cons,4g_1800_ave,4g_1800_cons,4g_2100_ave,4g_2100_cons,4g_2600_ave,4g_2600_cons
0,be6dc17a-57df-4709-bff1-18f433f7df71,11210120003,STP-1713385818-4t89,0.3300316,6.7332108,school,,Primary,STP,,Água-Grande,Centro ,True,fiber,True,Electrical grid,fiber,POINT (6.7332108 0.3300316),True,True,True,True,True,True,True,True
1,7f4bf645-3665-4658-9913-edcb3fba3b2d,11210211003,STP-1713385818-4t89,0.3330804,6.7235979,school,,Primary and Secondary,STP,,Água-Grande,Vila Fernanda,False,,True,Electrical grid,school,POINT (6.7235979 0.3330804),True,True,True,True,True,True,True,True
2,b20c597e-6fcd-4996-9286-10bbca1d887e,11210220003,STP-1713385818-4t89,0.3174945,6.719467,school,,Primary,STP,,Água-Grande,Centro ,True,fiber,True,Electrical grid,fiber,POINT (6.719467 0.3174945),True,True,True,True,True,False,True,False
3,192c1704-9e7e-4b7a-8ba7-0eed5ae771ad,11210320003,STP-1713385818-4t89,0.3423334,6.7244712,school,,Primary,STP,,Água-Grande,Centro,True,fiber,True,Electrical grid,fiber,POINT (6.7244712 0.3423334),True,True,True,True,True,True,True,True
4,26ac2dc1-98e0-4ce7-8c1f-c6935b90ecc4,11210420003,STP-1713385818-4t89,0.3392377,6.7089319,school,,Primary,STP,,Água-Grande,Boa Morte,True,fiber,True,Electrical grid,fiber,POINT (6.7089319 0.3392377),True,True,True,True,True,True,True,False
5,aeb454bc-d042-4df9-97ca-3d1e00463eb4,11210520003,STP-1713385818-4t89,0.322642,6.7063972,school,,Primary and Secondary,STP,,Água-Grande,Centro,True,adsl,True,Electrical grid,school,POINT (6.7063972 0.322642),True,True,True,True,True,True,True,True
6,7313a356-034c-4d7d-8b06-368146a72649,11210620003,STP-1713385818-4t89,0.3359303,6.7327067,school,,Primary,STP,,Água-Grande,Centro ,True,fiber,True,Electrical grid,fiber,POINT (6.7327067 0.3359303),True,True,True,True,True,True,True,True
7,f6f4b840-bd76-43fe-9fb6-f2a854c2c6da,11210720003,STP-1713385818-4t89,0.3514034,6.7140931,school,,Primary,STP,,Água-Grande,Água grande centro ,True,fiber,True,Electrical grid,fiber,POINT (6.7140931 0.3514034),True,True,True,True,True,True,True,True
8,64bab1ad-f648-44d1-b800-458d3db8174a,11210820003,STP-1713385818-4t89,0.3325065,6.7188507,school,,Primary,STP,,Água-Grande,Fundação Popular.,True,fiber,True,Electrical grid,fiber,POINT (6.7188507 0.3325065),True,True,True,True,True,True,True,True
9,7fa3f79d-529b-4e16-859f-8519904af70f,11210920003,STP-1713385818-4t89,0.3754567,6.7114541,school,,Primary,STP,,Água-Grande,Água grande Norte,True,fiber,True,Electrical grid,fiber,POINT (6.7114541 0.3754567),True,True,True,True,True,True,True,True
10,4ef50bc6-7f71-49a5-8461-8905421c167d,11211020003,STP-1713385818-4t89,0.3292292,6.7236008,school,,Primary,STP,,Água-Grande,Centro,True,adsl,True,Electrical grid,school,POINT (6.7236008 0.3292292),True,True,True,True,True,True,True,True
