ict_id,source_ict_id,source_cell_id,dataset_id,country_code,lat,lon,admin1,admin2,admin3,operator_name,radio_type,downlink_frequency_mhz,uplink_frequency_mhz,max_channel_bandwidth_mhz,eirp_dbm,tower_height,antenna_height,mechanical_tilt_degrees,electrical_tilt_degrees,azimuth_degrees,antenna_model,antenna_gain,antenna_horizontal_beamwidth_degrees,antenna_vertical_beamwidth_degrees,backhaul_type,backhaul_throuput_mbps,power_source
5fd843b7-0fd7-4192-b3ac-5aa38fadb2d1,CT1,,STP-1713438795-bivd,STP,0.374730556,6.710891667,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
b4fbe775-c7e9-4752-b21c-883b84ea08ad,CT2,,STP-1713438795-bivd,STP,0.331408333,6.715980556,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
17ffd12a-39e9-4d3c-8584-341cc72ffa50,CT3,,STP-1713438795-bivd,STP,1.626244444,7.398616667,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica/MW,,
decdc91c-f96c-40aa-9cb4-fe42c9a40cf3,CT4,,STP-1713438795-bivd,STP,0.312419444,6.713802778,,,,UNITEL,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
529728d5-5c34-428f-8af8-367d68e27707,CT6,,STP-1713438795-bivd,STP,0.3218,6.701916667,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
26269076-6370-4c06-a698-afc3961066d4,CT7,,STP-1713438795-bivd,STP,0.3121,6.727619444,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
2cefd750-473c-4996-bcc9-f7d850c61494,CT8,,STP-1713438795-bivd,STP,0.295347222,6.704111111,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
98a45cc3-337d-4167-8e53-dc419f07dab1,CT9,,STP-1713438795-bivd,STP,0.340530556,6.735086111,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
4381fb37-07f8-465a-a654-6bc8df169be0,CT10,,STP-1713438795-bivd,STP,0.327966667,6.73195,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
7a33e620-9486-45b1-907d-fe1b2edd15b6,CT11,,STP-1713438795-bivd,STP,0.121719444,6.640502778,,,,CST,4G,2600,2600,,,,25,,,,,,,,MW,,
b15feedf-c80b-478e-ad67-653e09e138cc,CT13,,STP-1713438795-bivd,STP,0.275919444,6.6056,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
c03094e0-4108-4bea-8097-fd5dd17421fa,CT15,,STP-1713438795-bivd,STP,0.338472222,6.698036111,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
f5f11660-2b1f-4529-b132-38e22d6e7147,CT17,,STP-1713438795-bivd,STP,0.288341667,6.743280556,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
0f2d8e47-6a43-4332-9434-16baf8f6890f,CT18,,STP-1713438795-bivd,STP,0.380094444,6.646475,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
e93eebd7-39f7-4480-88b2-01d20a36e347,CT19,,STP-1713438795-bivd,STP,0.359727778,6.546083333,,,,CST,4G,2600,2600,,,,25,,,,,,,,MW,,
1e729cb4-e2ed-47f8-904f-3573cfdc2179,CT20,,STP-1713438795-bivd,STP,0.307944444,6.493644444,,,,CST,4G,2600,2600,,,,25,,,,,,,,MW,,
3dfcef65-18ae-4bc7-b778-3118f28de72c,CT21,,STP-1713438795-bivd,STP,0.348391667,6.713558333,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
cb6229b5-b934-4d5f-a7c1-39f33e1b1d6f,CT22,,STP-1713438795-bivd,STP,0.331697222,6.740961111,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
78988246-5846-4af0-a5d2-3966afb01aba,CT23,,STP-1713438795-bivd,STP,1.685022222,7.447636111,,,,CST,4G,2600,2600,,,,25,,,,,,,,MW,,
feffbd04-9686-4e3c-8d95-8670afd5842f,CT24,,STP-1713438795-bivd,STP,0.030986111,6.532383333,,,,CST,4G,2600,2600,,,,25,,,,,,,,MW,,
104b5729-7244-4b60-89ef-caf49bf19de7,CT25,,STP-1713438795-bivd,STP,0.186630556,6.684583333,,,,CST,4G,2600,2600,,,,25,,,,,,,,Fibra Ótica,,
8a85b93f-c918-4c68-9544-3d47cf6e35ab,CT26,,STP-1713438795-bivd,STP,0.317819444,6.676091667,,,,CST,4G,2600,2600,,,,25,,,,,,,,MW,,
