poi_id,ict_id,ground_distance,order
23dd6a45-3656-435b-b3b1-c16efab9daeb,f7412e93-8fb4-4abf-a298-8fb0876a97f5,1502,1
23dd6a45-3656-435b-b3b1-c16efab9daeb,ad9f5591-f2fd-4ec6-a35f-31c4fb8d7013,1784,2
23dd6a45-3656-435b-b3b1-c16efab9daeb,4ea23bde-9f03-4e96-871d-59276323e1c2,2598,3
e13a657c-edf0-4013-92db-6c70136e3ac9,8a4cfe6a-ce1a-4096-84dc-be09b32b8567,4814,1
de75c87b-2676-47be-8454-4c44c4e6f644,9429f910-1d6b-4e52-8bb4-6f331d21e7ee,646,1
de75c87b-2676-47be-8454-4c44c4e6f644,82e53aaa-57c5-4437-898c-3c8d5c2e8336,1086,2
de75c87b-2676-47be-8454-4c44c4e6f644,2fb90cc1-38d3-4aa7-951c-b9a823a63822,2346,3
4267fc81-0e9f-40ca-84c8-84529958dc22,0334328f-7fcf-4c40-8570-8a2587488d22,1066,1
4267fc81-0e9f-40ca-84c8-84529958dc22,ad9f5591-f2fd-4ec6-a35f-31c4fb8d7013,1369,2
4267fc81-0e9f-40ca-84c8-84529958dc22,bb91980b-c9bb-46ba-81f5-3f18f4540ef8,2108,3
ae0ccc6e-5f91-4a58-a60b-68e8ebcdc797,9c3f9c22-3cdb-41ce-8c9d-f52ce96c4daa,462,1
ae0ccc6e-5f91-4a58-a60b-68e8ebcdc797,c792a57c-917b-4ecf-8e8f-c89f26361d6b,2404,3
ae0ccc6e-5f91-4a58-a60b-68e8ebcdc797,1fd92561-71d6-4f82-a50b-314eaeb2bb3a,2273,2
eadb65ff-99dc-4bd3-bb21-619a55a73b34,9b7721b1-6a5e-43a2-8f80-1acb26fe8bc9,836,1
eadb65ff-99dc-4bd3-bb21-619a55a73b34,dfc3dbe8-ec80-4a71-9305-61a4384c91d6,2361,2
eadb65ff-99dc-4bd3-bb21-619a55a73b34,67e2292b-3bf5-4de7-b734-38b4ad706039,2556,3
8d7cbf69-616c-435f-a1bf-b46db1f2b1a2,,,1
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,f448eb06-a5b3-4343-859c-5a2d27ffe253,5310,1
